year,species_code,hauljoin,sex,age,length
2013,21720,-10028,1,4,540
2013,21720,-10077,2,1,180
2013,21720,-10072,1,4,500
2013,21720,-10284,1,7,730
2013,21720,-10060,1,5,580
2013,21720,-10123,2,2,310
2013,21720,-10073,1,2,260
2013,21720,-9858,2,5,620
2013,21720,-9814,1,3,440
2013,21720,-10118,2,4,510
2013,21720,-9813,2,2,330
2013,21720,-10073,1,5,670
2013,21720,-10108,1,5,670
2013,21720,-10042,2,2,250
2013,21720,-9814,1,3,400
2013,21720,-10192,2,7,860
2013,21720,-9813,1,2,270
2013,21720,-10022,2,4,530
2013,21720,-10284,2,5,710
2013,21720,-9868,2,2,240
2013,21720,-9810,1,1,130
2013,21720,-9810,2,1,130
2013,21720,-10163,2,1,150
2013,21720,-9750,1,5,590
2013,21720,-10129,1,5,660
2013,21720,-9871,2,4,520
2013,21720,-10208,1,6,750
2013,21720,-10167,2,3,390
2013,21720,-10026,2,4,480
2013,21720,-9883,2,2,290
2013,21720,-10043,2,2,260
2013,21720,-10192,1,3,460
2013,21720,-10072,1,5,650
2013,21720,-9864,2,2,250
2013,21720,-10118,2,5,710
2013,21720,-10073,1,7,850
2013,21720,-10043,2,5,660
2013,21720,-9748,1,6,730
2013,21720,-9756,1,3,430
2013,21720,-10098,2,8,890
2013,21720,-10120,1,3,460
2013,21720,-9873,2,2,380
2013,21720,-10276,1,7,750
2013,21720,-10048,2,3,430
2013,21720,-10010,1,5,670
2013,21720,-10126,2,1,130
2013,21720,-10034,2,4,550
2013,21720,-10069,2,5,610
2013,21720,-10003,2,7,900
2013,21720,-10127,1,3,410
2013,21720,-10057,1,5,700
2013,21720,-10118,2,3,470
2013,21720,-10118,1,5,570
2013,21720,-10092,1,5,590
2013,21720,-10147,2,3,430
2013,21720,-10147,2,5,630
2013,21720,-10042,2,4,510
2013,21720,-9863,1,5,660
2013,21720,-10269,2,6,740
2013,21720,-10073,1,1,180
2013,21720,-9868,2,2,270
2013,21720,-9835,2,3,410
2013,21720,-9871,1,3,410
2013,21720,-10276,1,6,730
2013,21720,-10038,2,2,300
2013,21720,-10002,1,7,700
2013,21720,-10138,2,5,740
2013,21720,-10042,1,1,160
2013,21720,-10080,1,4,500
2013,21720,-10046,1,2,360
2013,21720,-9756,1,3,440
2013,21720,-10041,2,5,620
2013,21720,-9835,2,4,500
2013,21720,-10034,2,2,270
2013,21720,-10043,2,4,500
2013,21720,-9872,1,3,440
2013,21720,-10087,2,2,360
2013,21720,-10192,1,5,620
2013,21720,-9992,2,4,460
2013,21720,-9863,2,1,190
2013,21720,-10127,1,3,370
2013,21720,-9750,1,5,690
2013,21720,-10120,2,5,660
2013,21720,-10120,1,6,680
2013,21720,-10243,2,6,690
2013,21720,-10192,1,5,680
2013,21720,-10014,1,4,540
2013,21720,-9871,2,3,490
2013,21720,-10208,2,6,770
2013,21720,-10003,2,7,860
2013,21720,-10069,1,4,530
2013,21720,-10057,1,5,640
2013,21720,-10082,2,4,540
2013,21720,-10120,1,9,780
2013,21720,-10203,2,3,450
2013,21720,-10042,1,2,310
2013,21720,-10149,2,4,530
2013,21720,-10082,1,3,440
2013,21720,-10082,1,2,310
2013,21720,-9863,2,2,290
2013,21720,-10053,1,3,410
2013,21720,-10120,2,5,620
2013,21720,-10126,2,2,300
2013,21720,-9902,1,2,360
2013,21720,-10034,2,7,820
2013,21720,-10046,2,4,590
2013,21720,-10177,1,4,530
2013,21720,-9748,1,2,260
2013,21720,-10030,1,2,360
2013,21720,-10208,2,6,740
2013,21720,-10141,2,4,490
2013,21720,-9813,2,2,340
2013,21720,-10208,1,4,520
2013,21720,-9752,2,4,530
2013,21720,-10043,1,2,330
2013,21720,-10072,2,2,300
2013,21720,-9902,2,6,720
2013,21720,-10075,1,2,300
2013,21720,-9869,2,5,600
2013,21720,-10185,2,7,870
2013,21720,-10026,2,6,730
2013,21720,-9863,1,5,630
