sim,year,species_code,sex,rss,sex_desc
2,2023,21720,4,212.56547751812846,total_post
3,2023,21720,0,105.9185373888942,total_pre
3,2023,21720,1,115.45026410181767,male
3,2023,21720,2,145.772912691171,female
3,2023,21720,4,321.9871246575151,total_post
4,2023,21720,0,197.68199061057334,total_pre
4,2023,21720,1,331.10212607187486,male
4,2023,21720,2,1367.5678494822953,female
4,2023,21720,4,833.2024676703497,total_post
5,2023,21720,0,108.06420514520093,total_pre
5,2023,21720,1,104.34817571084271,male
5,2023,21720,2,109.10927925405858,female
5,2023,21720,4,119.47942687174357,total_post
1,2023,21720,12,352.4647647903009,female_male
2,2023,21720,12,407.83431114577104,female_male
3,2023,21720,12,239.3867007140659,female_male
4,2023,21720,12,1215.0229821219045,female_male
5,2023,21720,12,233.92404118732267,female_male
1,2023,21740,0,129.93440725200557,total_pre
1,2023,21740,1,37.694587432213595,male
1,2023,21740,2,86.85577845658479,female
1,2023,21740,4,89.10332417420005,total_post
2,2023,21740,0,122.05561404814728,total_pre
2,2023,21740,1,84.49968752507324,male
2,2023,21740,2,182.1469644845147,female
2,2023,21740,4,150.9565753434649,total_post
3,2023,21740,0,253.83254077103928,total_pre
3,2023,21740,1,107.76584735530196,male
3,2023,21740,2,78.96529295970413,female
3,2023,21740,4,158.13626831056192,total_post
4,2023,21740,0,338.25363367174634,total_pre
4,2023,21740,1,66.32422522067313,male
4,2023,21740,2,290.0339569026649,female
4,2023,21740,4,158.96544303270986,total_post
5,2023,21740,0,175.60354150200675,total_pre
5,2023,21740,1,632.5807242038447,male
5,2023,21740,2,93.83342499525583,female
5,2023,21740,4,203.4327848560715,total_post
1,2023,21740,12,120.03135229437113,female_male
2,2023,21740,12,263.0468823666102,female_male
3,2023,21740,12,196.2143595622796,female_male
4,2023,21740,12,241.60745003567484,female_male
5,2023,21740,12,317.55356175400476,female_male
