sim,year,species_code,sex,rss,sex_desc
3,2018,21740,1,2692.583512434434,male
3,2018,21740,2,1457.4789110433799,female
3,2018,21740,4,3985.168624894066,total_post
4,2018,21740,0,3547.5987834805296,total_pre
4,2018,21740,1,1890.386110384526,male
4,2018,21740,2,3786.89542531579,female
4,2018,21740,4,3547.598495740891,total_post
5,2018,21740,0,1918.8829934539397,total_pre
5,2018,21740,1,1507.0815953027395,male
5,2018,21740,2,1360.5822038597883,female
5,2018,21740,4,1918.882989569052,total_post
1,2018,21740,12,1734.178774852378,female_male
2,2018,21740,12,1211.814873168343,female_male
3,2018,21740,12,3315.529751448339,female_male
4,2018,21740,12,4013.0633997447276,female_male
5,2018,21740,12,2861.862190272886,female_male
1,2019,21720,0,1593.9424661699472,total_pre
1,2019,21720,1,975.2889217477257,male
1,2019,21720,2,1218.5562383336512,female
1,2019,21720,4,1593.9431463786989,total_post
2,2019,21720,0,3020.9608245403297,total_pre
2,2019,21720,1,1841.9141547663319,male
2,2019,21720,2,2986.776702219859,female
2,2019,21720,4,3020.961190985166,total_post
3,2019,21720,0,3920.372483653747,total_pre
3,2019,21720,1,2729.222057914363,male
3,2019,21720,2,2789.7097102522025,female
3,2019,21720,4,3920.3740650795858,total_post
4,2019,21720,0,2778.286329876477,total_pre
4,2019,21720,1,1189.2876556421961,male
4,2019,21720,2,1729.4621978520624,female
4,2019,21720,4,2778.2868857939056,total_post
5,2019,21720,0,1352.134914514997,total_pre
5,2019,21720,1,755.5485424687378,male
5,2019,21720,2,1003.208304707109,female
5,2019,21720,4,1352.134404748164,total_post
1,2019,21720,12,2188.7405923438787,female_male
2,2019,21720,12,4289.001584045422,female_male
3,2019,21720,12,5581.5062050147835,female_male
4,2019,21720,12,2842.1664817222463,female_male
5,2019,21720,12,1715.6989368394045,female_male
1,2019,21740,0,2255.886653950658,total_pre
1,2019,21740,1,2160.3900150869263,male
1,2019,21740,2,1602.9723286382973,female
1,2019,21740,4,2255.8865861452014,total_post
2,2019,21740,0,1248.1849451681276,total_pre
2,2019,21740,1,16349.329792714649,male
2,2019,21740,2,5680.075303828184,female
2,2019,21740,4,1248.1849319640303,total_post
