year,species_code,sex,age,agepop,mean_length,sd_length
2023,21720,3,5,267871,64.85,6.41
2023,21720,3,6,156113,75.58,3.83
2023,21720,3,7,80433,82.75,5.28
2023,21720,3,8,78906,90.47,4.96
2023,21720,3,9,29464,90.58,4.11
2023,21740,1,1,24903174,17.48,2.57
2023,21740,1,2,151713497,27.21,3.25
2023,21740,1,3,70575574,34.57,3.1
2023,21740,1,4,517080426,39.56,2.09
2023,21740,1,5,643240341,41.96,2.05
2023,21740,1,6,381596790,45.71,2.35
2023,21740,1,7,217784433,49.19,2.55
2023,21740,1,8,236818196,50.79,2.8
2023,21740,1,9,194328901,51.43,2.89
2023,21740,1,10,82133008,54.03,3.19
2023,21740,1,11,32747381,55.69,2.65
2023,21740,1,12,22329130,56.35,3.05
2023,21740,1,13,1703984,61.02,3.88
2023,21740,1,14,5098694,62.98,1.49
2023,21740,1,15,1390781,65.11,3.45
2023,21740,2,1,38366532,18.02,2.87
2023,21740,2,2,186104190,26.29,3.18
2023,21740,2,3,103195727,35.77,2.79
2023,21740,2,4,424596601,40.53,1.84
2023,21740,2,5,697477385,42.59,2.41
2023,21740,2,6,489415772,46.21,2.84
2023,21740,2,7,250752907,50.64,3.05
2023,21740,2,8,234766666,52.32,3.17
2023,21740,2,9,251085062,53.92,3.13
2023,21740,2,10,136595432,56.72,3.05
2023,21740,2,11,44092573,58.49,3.25
2023,21740,2,12,30092958,59.96,3.26
2023,21740,2,13,5114874,60.1,4.32
2023,21740,2,14,5677388,59.55,2.55
2023,21740,3,1,1021248016,12.54,1.78
2023,21740,3,2,3939230,23.83,2.52
2023,21740,3,3,68480,33.09,2.92
2023,21740,3,4,158630,40.75,1.03
2023,21740,3,5,238902,40.94,0.23
2023,21740,3,6,25755,40.97,0.16
2013,21720,0,1,78880412,16.19,4.33
2013,21720,0,2,330811084,28.87,3.29
2013,21720,0,3,132235653,43.6,3.91
2013,21720,0,4,93661766,51.7,3.7
2013,21720,0,5,96234818,63.09,4.33
2013,21720,0,6,22502966,70.49,5.18
2013,21720,0,7,7920209,79.32,4.73
2013,21720,0,8,1280509,85.08,5.76
2013,21720,0,9,588678,89.58,7.31
2013,21720,0,11,28626,97,0
2014,21720,0,1,311469140,18.1,2.9
2014,21720,0,2,217450566,32.34,3.46
2014,21720,0,3,268393948,43.68,3.74
2014,21720,0,4,196264783,52.19,4.35
2014,21720,0,5,79371700,61.56,3.84
2014,21720,0,6,38836934,70.63,4.98
2014,21720,0,7,5864034,78.96,5.62
2014,21720,0,8,2356578,84.77,5.46
2014,21720,0,9,308371,92.09,3.96
2014,21720,0,10,60277,96,0
2014,21740,0,1,1712539665,13.77,1.84
2014,21740,0,2,421536953,25.2,2.22
2014,21740,0,3,198397813,31.73,2.79
2014,21740,0,4,318479479,38.51,1.89
2014,21740,0,5,1374769446,42.2,2.36
2014,21740,0,6,4619198504,45.58,2.42
2014,21740,0,7,2060849736,49.03,3.01
2014,21740,0,8,484059039,53.55,4.31
2014,21740,0,9,292291781,55.54,3.63
2014,21740,0,10,102860946,57.43,4.47
2014,21740,0,11,62529044,58.8,4.55
2014,21740,0,12,47807292,59.47,5
2014,21740,0,13,31536745,62.15,5.58
