year,survey,species_code,stratum,hauljoin,sex,length,age,lat_mid,long_mid
2013,98,21720,20,-10080,2,420,3,59.32084,-167.919675
2013,98,21720,20,-10080,2,500,4,59.32084,-167.919675
2013,98,21720,20,-10080,2,320,2,59.32084,-167.919675
2013,98,21720,20,-10080,2,450,3,59.32084,-167.919675
2013,98,21720,20,-10080,2,310,2,59.32084,-167.919675
2013,98,21720,20,-10080,2,330,3,59.32084,-167.919675
2013,98,21720,20,-10080,2,440,4,59.32084,-167.919675
2013,98,21720,20,-10080,2,480,4,59.32084,-167.919675
2013,98,21720,20,-10080,2,470,3,59.32084,-167.919675
2013,98,21720,20,-10080,2,510,4,59.32084,-167.919675
2013,98,21720,20,-10080,2,490,4,59.32084,-167.919675
2013,98,21720,20,-10080,2,400,3,59.32084,-167.919675
2013,98,21720,20,-10080,2,340,2,59.32084,-167.919675
2013,98,21720,20,-10080,1,280,2,59.32084,-167.919675
2013,98,21720,20,-10080,1,430,3,59.32084,-167.919675
2013,98,21720,20,-10080,1,290,2,59.32084,-167.919675
2013,98,21720,20,-10080,1,480,4,59.32084,-167.919675
2013,98,21720,20,-10080,1,530,5,59.32084,-167.919675
2013,98,21720,20,-10080,1,460,4,59.32084,-167.919675
2013,98,21720,20,-10080,1,500,4,59.32084,-167.919675
2013,98,21720,20,-10080,1,490,4,59.32084,-167.919675
2013,98,21720,20,-10080,1,400,3,59.32084,-167.919675
2013,98,21720,20,-10080,1,450,3,59.32084,-167.919675
2013,98,21720,20,-10080,1,470,4,59.32084,-167.919675
2013,98,21720,20,-10080,1,510,5,59.32084,-167.919675
2013,98,21720,42,-10100,1,280,2,57.009555,-170.146275
2013,98,21720,42,-10100,1,700,5,57.009555,-170.146275
2013,98,21720,42,-10100,1,660,6,57.009555,-170.146275
2013,98,21720,42,-10100,1,380,3,57.009555,-170.146275
2013,98,21720,42,-10100,1,670,5,57.009555,-170.146275
2013,98,21740,42,-10101,1,440,5,57.158805,-169.89989
2013,98,21740,42,-10101,1,400,4,57.158805,-169.89989
2013,98,21740,42,-10101,2,450,5,57.158805,-169.89989
2013,98,21740,42,-10101,2,450,5,57.158805,-169.89989
2013,98,21740,42,-10101,1,420,5,57.158805,-169.89989
2013,98,21740,42,-10101,2,520,5,57.158805,-169.89989
2013,98,21740,42,-10140,2,450,5,57.49204,-169.97234
